Sr. No. ,Institute Code ,Institute Name 
275,6422,Bharati Vidyapeeth's Institute of Technology(Poly)
276,6423,"Shri Jain Vidya Prasarak Mandal's Rasiklal M. Dhariwal Institute of Technology, Chinchwadgaon, Pune"
277,6425,"Jaywant shikshan prasarak Mandal,Jaywantrao Sawant Polytechnic, Hadapsar, Pune"
278,6426,"People Enpowerment Group,International School of Business & Media, Mulshi."
279,6427,"Bhivrabai Sawant Polytechnic, Wagholi, Pune"
280,6428,"BMSPM's Ashokrao Mane Polytechnic, Vathar Tarf Vadgaon"
281,6429,"Vidya Vikas Pratishthan Polytechnic, Solapur"
282,6430,"Genba Sopanrao Moze Institute of Technology, Balewadi, Tal.Haveli"
283,6431,"Sai Charitable Trust, Indira Institute Of Diploma Engineering(Poly), Sasure, Tal. Barshi"
284,6432,"Shivneri Foundation, Shivneri Polytechnic, Khanapur, Junnar, Pune"
285,6433,"Vidyavardhini Charitable Trust's Abhaysinhraje Bhonsle Institute of Technology, Shahunagar- Shendra, Satara"
286,6434,"Dinkarrao K. Shinde Smarak Trust, Dr. A.D. Shinde Institute Of Technology, Gadhinglaj"
287,6435,"Zeal Education Society, Zeal Polytechnic, Narhe Tal. Haveli, Pune"
288,6436,"Sharad Institute of Technology Polytechnic, Yadrav( Ichalkaranji)"
289,6437,"Shree Vitthal Edu. and Research Institute, College of Engineering (Polytechnic), Gopalpur, Pandharpur"
290,6439,"Y.D.Mane Institute of Technology, Kagal, Kolhapur"
291,6441,"Dr.D.Y.Patil Educational Academy's  D. Y. Patil Polytechnic, Ambi., Talegaon"
292,6442,"Sant Gajanan Maharaj Rural Polytechnic, Gadhingaj, Kolhapur"
293,6443,"Shanti Education Society, A.G. Patil Polytechnic Institute, Solapur"
294,6444,"Shriram Institute Of Engineering & Technology, (Poly), Paniv"
295,6445,"Vidya Pratishthan's Polytechnic College, Vidyanagari, Indapur "
296,6446,"Kai. Amdar Bramhadevdada Mane Shikshan Va Samajik Pratishthan,Bramhadevdada Mane Polytechnic, Belati, Noth Solapur"
297,6447,"Shree Pandurang Pratishthan, Karmayogi Polytechnic College, Shelvhe, Tal.Pandharpur"
298,6448,"Loknete Ma.Hanumantrao Patil Charitable Trust, Adarsh Institute of Technology (Poly), Khambale"
299,6449,"Marathwada Mitra Mandal's Polytechnic, Pune"
300,6451,"Samarth Rural Education Institute, Samarth Polytechnic, Bangarwadi, Belhe"
301,6452,"Shri Umajirao Sanamadikar Medical Foundation's Siddharath Polytechnic, Jath"
302,6454,"D. Y. Patil Educational Socity's D.Y. Patil College Of Engineering & Polytechnic, Kolhapur"
303,6455,"Sandipani Charitable Trust, M.D. Jadhav Institute Of Technology.,Bhose"
304,6456,"Kasegaon Education Society's Rajarambapu Institute of Technology (Polytechnic), Lohgaon Pune"
305,6457,"Dattakala Shikshan Sanstha's, Dattakala Polytechnic, Daund Dist. Pune"
306,6458,"Shri. Siddheshwar Deosthan Trust's Siddheshwar Women's Polytechnic, Solapur"
307,6460,"S.C.E.S. Indira School Of Business Studies, Tathwade"
308,6462,"Balasaheb Desai Foundation, Shivajirao Desai College Of Polytechnic, Doulatnagar"
309,6463,"Mokashi Krishi Vikas Prasisthan's Dadasaheb Mokashi Polytechnic, Sadashivgad, Satara"
310,6464,"Rajarshi Shahu Shikshan Sanstha's Vitthal Patil Polytechnic, Miraj"
311,6465,"Gaurishankar Education & Charitable Trust, Gaurihar Polytechnic,Limb,  Satara"
312,6466,"Shree Santkrupa Shikshan Sanstha, Shree Santkrupa Institute Of Engineering & Technology, Karad"
313,6467,"Swami Vivekananda Pratisthan, Swami Vivekananda Institute Of Technology,Khed, Solapur"
314,6468,"Swami Vivekananda Shikshan Sanstha, Dr. Bapuji Salunkhe Institute Of Engineering & Technology,Kolhapur"
315,6469,"Shahajirao Patil Vikas Pratishthan, S. B. Patil Polytechnic, Indapur"
316,6470,"Shriram Education Soceity's Shivaji Polytechnic, Atpadi, Sangli"
317,6471,"Ramkrishna Technical Education Soceity, Shivaji Polytechnic College, Sangola"
318,6472,"Vidyavardhini Educational Academy's Vidyavardhini Institute Of Technology,Bhudargad"
319,6473,"Shri. Venkateshwara Shikshan Sanstha's Nanasaheb Mahadik Polytechnic Institute, Peth"
320,6474,"Shri Vatavruksha Swami Maharaj Devasthan's, Kai.Kalyanrao (Balasaheb) Ingale Polytechnic College, Akkalkot"
321,6475,"Smt. Premalatai Chavan Polytechnic, Karad"
322,6476,"Sau. Devibai Narayandas Chhabada Rural Education Soceity,Late N.B. Chhabada Institute Of Engg & Tech.(Poly), Satara"
323,6478,"Bharti Vidyapeeths Institute of Pharmacy (Un Aided Wing), Pune"
